COYOTEID,PAIRED,TISSUE,SECTION,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
SS83,NO,CLAW,ALL,197,urban,urban,2019/11,2019,11,SS,-22.6,7.8,46.7,16,0,0,M,1
SS85,NO,CLAW,ALL,198,urban,urban,2019/11,2019,11,SS,-21.9,9.3,46.2,15.6,0,0,M,0
SS86,NO,CLAW,ALL,199,urban,urban,2019/11,2019,11,SS,-23,8.4,46.1,15.7,0,0,F,0
SS87,NO,CLAW,ALL,200,urban,urban,2019/11,2019,11,SS,-21.4,9.3,46,15.6,0,0,M,0
SS88,NO,CLAW,ALL,201,urban,urban,2019/01,2019,1,SS,-22.1,9.3,46.3,16,0,0,F,1
SS89,NO,CLAW,ALL,202,urban,urban,2019/01,2019,1,SS,-21.3,9.6,45.6,15.8,0,0,M,1
SS90,NO,CLAW,ALL,203,urban,urban,2019/01,2019,1,SS,-22.6,7.6,45.2,15.4,0,0,M,1
SS91,NO,CLAW,ALL,204,urban,urban,2019/01,2019,1,SS,-20.1,9.3,45.1,15.2,0,0,M,0
SS92,NO,CLAW,ALL,205,urban,urban,2019/01,2019,1,SS,-19.7,8.3,43.9,14.6,0,0,M,1
SS93,NO,CLAW,ALL,206,rural,rural,2019/01,2019,1,SS,-22.8,9.1,45.1,14.7,0,0,F,1
SS94,NO,CLAW,ALL,207,urban,urban,2019/02,2019,2,SS,-22.4,8.2,47.6,16.1,0,1,M,1
SS95,NO,CLAW,ALL,208,urban,urban,2019/02,2019,2,SS,-23,7.7,46.5,16,0,1,F,1
SS96,NO,CLAW,ALL,209,urban,urban,2019/03,2019,3,SS,-20.6,8.2,46.8,15.9,0,1,M,1
SS105,NO,CLAW,ALL,210,urban,urban,2019/09,2019,9,SS,-20.2,10.4,44.4,15.5,0,0,F,1
SS112,NO,CLAW,ALL,211,urban,urban,2019/08,2019,8,SS,-19.8,9.4,46.4,15.8,0,0,M,1
SS113,NO,CLAW,ALL,212,urban,urban,2020/02,2020,2,SS,-22.4,9.1,46.1,15.8,0,1,M,1
SS117,NO,CLAW,ALL,213,urban,urban,2020/02,2020,2,SS,-21.9,8.8,45.8,15.7,0,1,M,1
