COYOTEID,TISSUE,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
SS56,CLAW,170,suburban,suburban,2018/01,2018,1,SS,-22.77,9.39,42.4,14.7,0,0,M,1
SS57,CLAW,171,suburban,suburban,2017/11,2017,11,SS,-22.74,8.29,42.8,14.4,0,0,F,0
SS58,CLAW,172,suburban,suburban,2018/03,2018,3,SS,-22.79,9.59,43,14.7,0,1,F,1
SS59,CLAW,173,suburban,suburban,2018/02,2018,2,SS,-23.77,8.61,44.5,14.9,0,1,F,1
SS60,CLAW,174,suburban,suburban,2018/03,2018,3,SS,-23.66,6.09,42.6,14.7,0,1,F,1
SS61,CLAW,175,suburban,suburban,2018/03,2018,3,SS,-22.8,8.93,43.4,14.6,0,1,M,1
SS62,CLAW,176,suburban,suburban,2018/03,2018,3,SS,-22.52,8.67,41.8,14.2,0,1,F,1
SS63,CLAW,177,suburban,suburban,2017/12,2017,12,SS,-24.03,8.59,43.6,14.3,0,0,F,1
SS64,CLAW,178,suburban,suburban,NA,NA,NA,SS,-23.92,8.79,33.4,9.6,0,NA,M,1
SS65,CLAW,179,suburban,suburban,2017/12,2017,12,SS,-22.59,9.49,43.5,14.8,0,0,M,1
SS66,CLAW,180,urban,urban,2018/04,2018,4,SS,-20.9,9.45,43.1,14,0,1,M,1
SS67,CLAW,181,suburban,suburban,2018/02,2018,2,SS,-22.89,9.33,43.4,14.8,0,1,M,1
SS68,CLAW,182,suburban,suburban,2018/03,2018,3,SS,-21.84,8.2,43.7,14.6,0,1,F,1
SS69,CLAW,183,urban,urban,2018/03,2018,3,SS,-21.59,8.88,43.3,14.8,0,1,F,1
SS70,CLAW,184,urban,urban,2017/11,2017,11,SS,-23.64,7.95,41.8,14.3,0,0,M,0
SS71,CLAW,185,urban,urban,NA,NA,NA,SS,-23.18,9.22,44.3,14.5,0,NA,F,NA
SS72,CLAW,186,suburban,suburban,2018/01,2018,1,SS,-22.49,8.86,40.8,14,0,0,F,1
SS73,CLAW,187,urban,urban,2018/03,2018,3,SS,-22.32,9.24,42.5,14.5,0,1,M,0
SS74,CLAW,188,urban,urban,2018/04,2018,4,SS,-19.21,7.46,43.3,14.6,0,1,F,1
SS75,CLAW,189,urban,urban,2018/04,2018,4,SS,-20.47,7.01,42.9,14.7,0,1,F,0
SS76,CLAW,190,rural,rural,2018/05,2018,5,SS,-22.15,8.92,43.7,14.7,0,1,M,1
SS77,CLAW,191,urban,urban,2018/04,2018,4,SS,-21.82,8.74,44.4,15.2,0,1,F,NA
SS78,CLAW,192,urban,urban,2018/04,2018,4,SS,-21.08,8.88,43.8,14.8,0,1,M,NA
SS79,CLAW,193,urban,urban,2018/10,2018,10,SS,-19.7,9.5,46.5,15.4,0,0,F,0
SS80,CLAW,194,urban,urban,2019/06,2019,6,SS,-21.3,9.3,48.1,14.9,0,1,M,NA
SS81,CLAW,195,urban,urban,2019/10,2019,10,SS,-19.9,9,44.1,14.8,0,0,M,0
SS82,CLAW,196,urban,urban,2018/10,2018,10,SS,-19.3,8.6,46.6,16,0,0,F,0
SS83,CLAW,197,urban,urban,2019/11,2019,11,SS,-22.6,7.8,46.7,16,0,0,M,1
SS85,CLAW,198,urban,urban,2019/11,2019,11,SS,-21.9,9.3,46.2,15.6,0,0,M,0
SS86,CLAW,199,urban,urban,2019/11,2019,11,SS,-23,8.4,46.1,15.7,0,0,F,0
SS87,CLAW,200,urban,urban,2019/11,2019,11,SS,-21.4,9.3,46,15.6,0,0,M,0
SS88,CLAW,201,urban,urban,2019/01,2019,1,SS,-22.1,9.3,46.3,16,0,0,F,1
SS89,CLAW,202,urban,urban,2019/01,2019,1,SS,-21.3,9.6,45.6,15.8,0,0,M,1
SS90,CLAW,203,urban,urban,2019/01,2019,1,SS,-22.6,7.6,45.2,15.4,0,0,M,1
